iter	Passed	Remaining
0	4	4690
1	8	4317
2	14	4920
3	19	4863
4	22	4505
5	28	4650
6	33	4726
7	36	4582
8	42	4636
9	47	4728
10	51	4656
11	55	4548
12	60	4555
13	64	4550
14	69	4550
15	72	4441
16	78	4535
17	81	4472
18	85	4403
19	90	4435
20	95	4461
21	100	4462
22	105	4466
23	110	4493
24	113	4417
25	117	4419
26	124	4470
27	129	4489
28	134	4487
29	139	4513
30	143	4489
31	148	4483
32	154	4512
33	158	4502
34	162	4475
35	167	4477
36	171	4464
37	175	4452
38	178	4408
39	181	4348
40	186	4351
41	190	4343
42	193	4311
43	197	4301
44	202	4303
45	206	4287
46	211	4280
47	214	4255
48	218	4235
49	222	4226
50	226	4211
51	231	4223
52	236	4227
53	240	4220
54	245	4218
55	250	4220
56	253	4200
57	256	4172
58	261	4172
59	266	4172
60	270	4163
61	274	4155
62	280	4170
63	282	4133
64	285	4100
65	289	4097
66	294	4099
67	298	4096
68	303	4090
69	307	4085
70	311	4071
71	314	4050
72	317	4031
73	321	4022
74	326	4030
75	329	4004
76	333	4000
77	337	3990
78	343	3999
79	347	3991
80	351	3986
81	356	3985
82	360	3984
83	363	3962
84	366	3947
85	368	3920
86	373	3922
87	378	3922
88	382	3917
89	387	3915
90	392	3919
91	396	3913
92	399	3894
93	403	3892
94	409	3897
95	413	3891
96	417	3888
97	422	3892
98	426	3881
99	430	3874
100	435	3875
101	440	3876
102	444	3871
103	446	3849
104	452	3860
105	457	3859
106	461	3849
107	465	3847
108	471	3852
109	475	3850
110	480	3849
111	486	3854
112	491	3854
113	496	3856
114	500	3848
115	502	3830
116	507	3828
117	511	3826
118	517	3831
119	522	3828
120	527	3829
121	533	3839
122	539	3847
123	545	3853
124	550	3852
125	555	3853
126	558	3835
127	563	3839
128	568	3839
129	573	3840
130	577	3832
131	582	3831
132	587	3828
133	590	3815
134	596	3820
135	599	3811
136	604	3810
137	610	3813
138	615	3809
139	619	3804
140	624	3804
141	629	3800
142	631	3785
143	635	3778
144	638	3767
145	644	3768
146	646	3752
147	651	3748
148	657	3752
149	661	3749
150	664	3737
151	669	3733
152	674	3735
153	678	3724
154	682	3721
155	689	3728
156	694	3727
157	698	3724
158	705	3729
159	710	3729
160	715	3729
161	721	3731
162	726	3730
163	731	3730
164	737	3731
165	742	3728
166	747	3727
167	753	3730
168	756	3720
169	761	3719
170	768	3723
171	773	3721
172	778	3721
173	784	3723
174	788	3716
175	793	3715
176	798	3711
177	802	3707
178	808	3708
179	814	3712
180	819	3710
181	825	3708
182	831	3710
183	834	3699
184	839	3696
185	845	3698
186	849	3693
187	853	3687
188	857	3677
189	862	3676
190	866	3670
191	870	3664
192	875	3661
193	879	3655
194	884	3650
195	888	3645
196	892	3637
197	897	3633
198	901	3628
199	904	3618
200	909	3616
201	913	3610
202	918	3606
203	925	3609
204	929	3605
205	934	3600
206	940	3602
207	943	3592
208	948	3588
209	952	3584
210	957	3581
211	962	3577
212	967	3573
213	972	3571
214	976	3566
215	981	3562
216	987	3562
217	991	3557
218	995	3551
219	999	3545
220	1004	3542
221	1009	3536
222	1013	3531
223	1018	3529
224	1023	3525
225	1027	3520
226	1032	3517
227	1037	3511
228	1041	3506
229	1046	3502
230	1052	3502
231	1056	3498
232	1061	3494
233	1067	3494
234	1070	3484
235	1074	3480
236	1081	3480
237	1085	3475
238	1089	3469
239	1094	3466
240	1099	3462
241	1103	3457
242	1108	3453
243	1113	3450
244	1117	3444
245	1120	3433
246	1123	3426
247	1128	3422
248	1132	3416
249	1136	3410
250	1141	3406
251	1146	3403
252	1150	3398
253	1155	3394
254	1160	3390
255	1165	3385
256	1169	3381
257	1174	3378
258	1176	3367
259	1181	3362
260	1186	3358
261	1191	3355
262	1195	3350
263	1199	3345
264	1205	3344
265	1210	3341
266	1215	3336
267	1221	3337
268	1226	3332
269	1231	3330
270	1237	3329
271	1242	3326
272	1247	3321
273	1253	3321
274	1258	3317
275	1262	3312
276	1269	3312
277	1274	3308
278	1278	3304
279	1284	3302
280	1289	3299
281	1294	3296
282	1302	3298
283	1307	3297
284	1312	3292
285	1319	3294
286	1324	3291
287	1331	3291
288	1336	3288
289	1341	3284
290	1349	3287
291	1354	3284
292	1359	3281
293	1366	3280
294	1370	3276
295	1376	3273
296	1386	3280
297	1397	3292
298	1404	3293
299	1414	3300
300	1420	3299
301	1429	3304
302	1436	3304
303	1444	3308
304	1452	3309
305	1461	3313
306	1467	3313
307	1474	3312
308	1480	3310
309	1487	3310
310	1493	3309
311	1498	3305
312	1505	3304
313	1510	3300
314	1516	3298
315	1522	3296
316	1528	3292
317	1534	3291
318	1540	3288
319	1544	3281
320	1549	3278
321	1555	3276
322	1561	3272
323	1567	3270
324	1574	3269
325	1582	3272
326	1589	3270
327	1596	3269
328	1603	3270
329	1609	3268
330	1617	3268
331	1622	3264
332	1627	3258
333	1633	3257
334	1639	3255
335	1648	3258
336	1654	3255
337	1662	3256
338	1666	3250
339	1671	3245
340	1678	3244
341	1683	3239
342	1689	3236
343	1696	3235
344	1702	3231
345	1709	3232
346	1714	3227
347	1720	3223
348	1727	3221
349	1731	3216
350	1738	3215
351	1744	3211
352	1749	3206
353	1756	3204
354	1760	3198
355	1764	3192
356	1770	3188
357	1775	3183
358	1779	3177
359	1784	3171
360	1789	3167
361	1793	3160
362	1797	3153
363	1801	3148
364	1805	3141
365	1809	3134
366	1812	3126
367	1816	3119
368	1821	3115
369	1826	3109
370	1831	3104
371	1837	3101
372	1840	3094
373	1844	3088
374	1850	3084
375	1854	3078
376	1858	3071
377	1862	3064
378	1867	3059
379	1871	3053
380	1874	3045
381	1879	3040
382	1884	3035
383	1887	3027
384	1891	3021
385	1895	3015
386	1900	3009
387	1904	3003
388	1908	2997
389	1913	2993
390	1917	2987
391	1921	2980
392	1926	2975
393	1931	2970
394	1935	2965
395	1940	2959
396	1945	2955
397	1949	2948
398	1953	2942
399	1958	2938
400	1963	2932
401	1967	2927
402	1972	2921
403	1975	2914
404	1979	2908
405	1984	2902
406	1989	2898
407	1994	2893
408	1998	2887
409	2002	2881
410	2008	2877
411	2012	2871
412	2016	2866
413	2021	2861
414	2026	2855
415	2030	2850
416	2033	2843
417	2038	2838
418	2043	2833
419	2047	2827
420	2051	2821
421	2056	2816
422	2060	2810
423	2064	2805
424	2070	2801
425	2074	2795
426	2078	2789
427	2084	2785
428	2088	2780
429	2092	2774
430	2096	2768
431	2102	2763
432	2106	2758
433	2109	2751
434	2114	2745
435	2120	2742
436	2124	2736
437	2128	2731
438	2133	2726
439	2136	2719
440	2140	2713
441	2143	2705
442	2149	2702
443	2153	2696
444	2157	2691
445	2163	2687
446	2167	2681
447	2171	2675
448	2175	2670
449	2181	2666
450	2185	2660
451	2189	2654
452	2194	2650
453	2198	2644
454	2203	2639
455	2208	2634
456	2213	2630
457	2219	2626
458	2226	2624
459	2233	2621
460	2239	2618
461	2245	2615
462	2252	2611
463	2258	2609
464	2264	2605
465	2270	2602
466	2277	2599
467	2282	2594
468	2289	2592
469	2294	2587
470	2299	2583
471	2306	2580
472	2312	2576
473	2318	2572
474	2324	2569
475	2330	2565
476	2337	2562
477	2342	2558
478	2348	2554
479	2355	2552
480	2361	2547
481	2367	2544
482	2373	2540
483	2379	2536
484	2384	2532
485	2389	2527
486	2395	2523
487	2400	2518
488	2405	2513
489	2411	2509
490	2416	2505
491	2421	2500
492	2428	2497
493	2433	2492
494	2438	2487
495	2445	2484
496	2450	2479
497	2455	2475
498	2461	2471
499	2466	2466
500	2471	2461
501	2476	2456
502	2480	2451
503	2485	2445
504	2490	2441
505	2495	2436
506	2499	2430
507	2504	2425
508	2510	2421
509	2513	2414
510	2517	2409
511	2523	2405
512	2528	2400
513	2532	2394
514	2538	2390
515	2543	2385
516	2546	2378
517	2551	2373
518	2556	2369
519	2560	2363
520	2564	2358
521	2570	2353
522	2574	2348
523	2579	2343
524	2583	2337
525	2588	2332
526	2591	2325
527	2595	2320
